Library,Amnoonviridae,Arenaviridae,Astroviridae,Peribunyaviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Iridoviridae,Orthomyxoviridae,Nackednaviridae,Parvoviridae,Picornaviridae,Poxviridae,Spinareoviridae,Sedoreoviridae,Reovirales,Rhabdoviridae,Totiviridae
Chionobathyscus dewitti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11667384,0,0,0,0,0,0
Macrourus caml,0,0,0.020421446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741655852,0,0
Macrourus whitsoni,0,0,0.010985616,0,0.725050665,0,0,0.093377737,0,0,0.076899313,0,0,0,0.104363353,0,0,0,0,0,0
Antimora rostrata,0,0,0,0,0.059563819,0,0,0,0,0,0,0.25149168,0,0.552950786,0,0,0,0,0,0,0
Trematomus loennbergii,0,106.3406711,0,0.093672964,0,0.049958914,0.093672964,0,0.099917828,0,0,0,2.210681949,0,0.274774028,0,0,0,0,0.068693507,0
Pogonophryne barsukovi,0,0,0,0,0,0,0,2.635672266,0,0,0,0,0,0,0,0,0,0,0,0,0.12438004
Trematomus lepidorhinus,0.914105671,5.089091658,0,0.129744031,0,0.035384736,0,0,0.176923678,0,0,0,10.1330088,0,0.277180429,0,0.017692368,0,0,0,0
Pogonophryne immaculata,4.000709524,0,0.013915511,0,0,0,0,0,0,0,141.6749347,0,0.04870429,0,0,3.412083392,5.023917076,0,0,0,0.04870429
Zoarcidae,0,0,0,0,0,0,0,0,0,2.85036359,0,0.093875729,0,0,0,0,0,0,0,0.077422772,0
Pogonophryne scotti,0,0,0,0,0,0,0,0,0,0.015508958,0,0,0,0,0,0,0,0,0,0,0
Muraenolepis spp.,0.238008417,3.138091393,2.983881772,0,0.014875526,0,0,0,0,0,0,0,0,0,0.337178591,1.715148155,0,0.292552013,0,0.049585087,0